Body,BugsCrashes,Experience,Hardware,Performance,Pricing,Suggestion,None
I love games like this as it keeps my mind active. Biggest downside to this game is only having 100 energy which means you can only search 4 at a time until the energy runs out. I would like to see that gradually get larger as you get further into the game.,0,0,0,0,0,1,0
maybe get sponsors be cause i am not spending real money on this.  i would do surveys though :)<br/>updated with in 24 hours.<br/>3 starts  down to 1<br/>the game started crashing. it was fun while it lasted.,1,0,0,0,1,0,0
I love this game quite a bit. I love games like this so it's a lot of fun! There are many tasks to keep you busy.,0,0,0,0,0,0,1
"I really love games like this that keep you on the edge. Great art in this game! I can definitely see a sequel, hopefully. Only… it could use a lot more dialogue When a game forces you to figure out the jist the game through visuals, there's, for the most part, no plot. It is a shorter game, but I would buy it if I were you. Thanks Colibri Games for making a fun app!",0,1,0,0,0,0,0
I am addicted to this game just wish it was easier to play on the IPad 2. it drags to much and it is a little on the slow side.but other than that I love playing this game!!!!!! Although can we access our buildings?that would be so cool for us to click on the buildings and be able to do stuff in them.thanks,0,0,1,0,0,1,0
I love games like this! The simple clean layout is great. It's a perfect time killer/waster!! Super fun! I hope they make more like this one soon!!,0,1,0,0,0,0,0
"If you love games that are frusurating and unfair, this is the game for you!",0,1,0,0,0,0,0
"If you love games like &quot;Mirror's Edge&quot;, this is the game for you.  Otherwise, the gameplay is rather boring.<br/><br/>Just one opinion.",0,1,0,0,0,0,0
"I love sonic and I love games like temple run, so if you feel the same way you'll enjoy this game. My only real problem with it is that it crashes way too much. If they fixed that this game would atleast get four stars",1,0,0,0,0,0,0
great game but to many high level enemys invade your land and there hard to get rid of if at all . Plus they level up with you so it makes it harder . Other than that pretty fun other than alot of real money to by things,0,0,0,0,1,0,0
I love games like these they make me think.,0,0,0,0,0,0,1
Cool app I just wish I can use this camera as a default instead of having two different ones,0,0,0,0,0,1,0
I love games like this they r so fun,0,0,0,0,0,0,1
I love game it is so addicting!!!,0,0,0,0,0,0,1
I love games like this,0,0,0,0,0,0,1
"I love games that make me THINK, therefore I love this game.",0,0,0,0,0,0,1
"not bad, if stupid stuff didnt cost real money",0,0,0,0,1,0,0
"Your farm us out of sync is getting very annoying! Especially considering I have over 600 plots. I harvest,plow, and replant touching my screen over 1800 times only to have my farm go out of sync making me start over! I am getting ready to uninstall if not fixed which means quit playing period. I am one of the idiots that actually give you guys real money so I can buy your extremely over priced virtual items that mean nothing in the end. Please fix Zynga so I may continue to be ripped off by you guys. Thank you.",0,1,0,0,1,0,0
"It's keeping me entertained for the time being, but I'm afriad it's going to get to a point where it wants me to pay for things with real money and I'm not about to do that.",0,0,0,0,1,0,0
"I love games that are puzzling and adventurous! This game was so great, hadddd to buy the unlocked version, and finished it in 4 hours straight. Im lame but oh well.. 5 stars!",0,0,0,0,1,0,1
I love game. I just wish for a practice mode.,0,0,0,0,0,0,1
"probably one of the funnest games ive had on my ipod for about a year now ! super addicting , i just wish you didnt have to pay for some of the levels , that was a bummer but other then that the game was awesommmee (:",0,0,0,0,1,0,0
I like it when I'm not at my pc I can use the ipad just wished the harvesting was just like on the pc.,0,0,0,0,0,1,0
I love game but if I get a text or message the game crashes every time and even now it crashes for no reason sometimes. Please fix or I delete the game,1,0,0,0,0,0,0
Farmville is fun I just wish they would put some of the quests on like the web has.I also wish they would let us be able to acess our sheep pen pig pen etc.,0,0,0,0,0,1,0
"I have played several Zynga games and they all seem to be designed from the same mold. Fun at first but then it takes longer and longer to get &quot;energy&quot;, buy more &quot;land&quot;, get more &quot;animals&quot;, build more &quot;building&quot;, etc., etc.,.<br/>   I have enjoyed these games for a few weeks until the entire game slows down to the point where the only user choice is to start spending real money for virtual &quot;coins&quot;, &quot;hearts&quot;, or &quot;stars&quot;. Somebody needs to explain to me how I can have over 70,000 &quot;coins&quot; but still don't have enough to but a tree or cow, much less buy more property to expand my &quot;homestead&quot;. <br/>     So simple, with no more land I can't grow more crops, plant more trees, raise more animals and it appears I have reached a point after several weeks where if I want to finish this game I have only one choice- start spending lots of real money (virtual coins don't seem to have much real value, they just keep adding up but are pretty much useless when it comes to buying anything of value). Yes &quot;real money is what it takes to keep this, and many of the other Zynga games rolling. <br/>   After playing this game for a few weeks I feel like I've been visiting Las Vegas, you know how that goes, you spend tons of cash BUT THE HOUSE ALWAYS WINS.  The tragedy here is this is really a cute and clever concept until greed rears its ugly head. <br/>     I would have MUCH preferred this game to be called &quot;FarmVille Lite&quot;, and at some point been given the option of just buying it for $10.00 and being done with it and then being able to play it over and over. I feel like Zynga has taken a game app worth $10.00 and decided to make it cost $50.00-$100.00 to play it. <br/>    I'm sorry Zynga, I choose not to shoot up with the new virtual drug. Give me a &quot;purchase game for $10.00&quot; option and I'll be happy. Otherwise, next time an app promo says &quot;tops in in app purchases&quot; just SAY NO. Think I'd rather go to Vegas, it's much more fun and when you're done, you're done.",1,0,0,0,1,0,0
"This is a great game to kill time with. A worldwide leader of &quot;in-app purchase&quot; type games.<br/><br/>However, if you are like me and think that it is ridiculous to spend real money to earn virtual money, it will take a long time to progress through the game. I have been playing for almost a year now without making any in-app purchases. I could have prestiged a long time ago but I would have also spent hundreds of dollars doing it.<br/><br/>This game is beautifully designed and highly addictive and I would recommend it to anyone.",0,1,0,0,1,0,0
Love the app all around I just wish there could be safe-like area where I can store pictures with a pass code to get into,0,0,0,0,0,1,0
Play very easy and you can play <br/>I love love game,0,1,0,0,0,0,0
"I don't see a way to accomplish some of the tasks to move forward in the game without spending real money to buy crystals. I don't like it when games force me to pay to move on, so I refuse to pay for crystals. Therefore, I probably won't be playing this much longer. Shame...",0,0,0,0,1,0,0
"I started playing because my young nephew wanted me to.  It's actually pretty addicting!<br/><br/>I think it's too hard to get nanos unless you have plenty of real money to buy them.  I realize that's how Z2 makes their money, but 1 nano per ad is a bit trying when it takes 100 or more to build something.  And I will NOT buy them!<br/><br/>There needs to be a better forum; the current ones focus on how to get nanos by downloading and playing other games -- please, enough ads!",0,0,0,0,1,0,0
This app is the best it's amazing I love games like this get this game u will never delete it.,0,0,0,0,0,0,1
"I absolutely love the changes that you have made between both farms.    I hate to say it, but I don't get much done once I get home from work since I've joined the Farmville Junkies.  The themes that keep showing up are great, I just wish that I would have joined much sooner.  Keep up the good work!!!",0,0,0,0,0,0,1
I like It but it ttys to get you to buy everything with real money,0,0,0,0,1,0,0
love game❤❤❤❤,0,0,0,0,1,0,0
"I love games like this. I've played league of legends, world of war craft, and THIS. I love it. I also love how you don't have to pay reall money form anything. Thank you creators. &lt;3",0,0,0,0,1,0,0
"This is another game that costs to much real money to play, plus takes to long for things to build, and coins are slow to build up to buy buildings. Time limits too do a quest with times to build bridges, homes, etc don't give you much of an opportunity to finish quest in amount of time giving. If this game would get real on things, like time, costs and real money prices, it might actual be fun, but as it is, it's slow and you lose interest fast.",0,1,0,0,1,0,0
"Paradise cove is a fun little past time. It has beautiful graphics and a fun rhythm to it. It builds over time with enough additions to keep it interesting without getting complicated. My biggest complaint is the inflation. Exploration starts off at a few hundred coins and quickly grows over 10000.<br/><br/>PC is a beautiful, fun place with loads of potential that is hampered by runaway inflation. Hmm, a lot like Argentina.<br/><br/>I did not actually pay real money for any of the options so I don't know if that gives you less inflation.",0,1,0,0,1,0,0
I love this app I just wish I could harvest my pigpen too and it will never load,0,0,0,0,0,1,0
I love games like Wheel of Fortune!,0,0,0,0,0,0,1
"Focus lock and exposure lock, I love it. It is my default camera app, just wish I could set the phone to use it as default.",0,0,0,0,0,1,0
Me love game,0,0,0,0,0,0,1
"It's a really fun, addicting game. One downfall is, like with most free apps, you end up having to spend real money one way or another. Once you get further on into the game, the &quot;goals&quot; they set up for you to do in order to unlock certain things and move up levels get ridiculously exspensive for you to acommplish, so you end up having to use realy money for virtual money.",0,0,0,0,1,0,0
"The game isn't exactly the most fun. Like so many games released for iOS and those then ported to OS X, the game forces you to wait massive periods of time for no reason other than to force you into buying things with real money. It just nickels and dimes you endlessly, at least if you want to play for more than ten minutes once every 24 hours. These games are all essentially a step down from the shareware of the past.<br/><br/>The game's graphics aren't that nice. While on the town screen, it looks fine. In combat, however, the low quality images become a bit uglier. If you play in full screen, they're just bad. You can't even use the scrollwheel on many things, such as the build depot. The game's icon is simply the one used on iOS and doesn't match how icons on OS X should look.<br/><br/>The game is fun enough at first, then it devolves into drudgery. It's ultimately no different from any Facebook game out there. In the end, I don't see these issues ever getting fixed. Fixing these things would mean losing the incentive to pay for the most basic things.",1,1,0,0,1,0,0
"I don't give a lot of review to apps, but this one Its a must have app.  This game is so addicting that if you have time to play while you are waiting for someone or even just for fun, time goes by flying.  I love games that are like this one, they never get old.  I like this game a lot and you should get it and try it.",0,0,0,0,0,0,1
Love FV I'm hooked just wish it was easier to get FV Cash,0,0,0,0,1,0,0
I like it mostly just wish I could do my spa stuff on app I have to get on lap top to finish making things and buy goods from friends.,0,0,0,0,0,0,1
"This game is very good, but it requires way too much real money spending. Why can't someone make a game where you don't have to pay in order to recieve optimal functionality?!?! But in this game, it's not just optimal functionality---without paying, you have barely any functionality!",0,0,0,0,1,0,0
Great app just wish the update the icon to match the iOS 7 design so it can go on my home screen,0,0,0,0,0,1,0
"This... This is why I love games for iOS devices, they present uniquely colorful indie themes &amp; successfully build an interactive world that feels like a lovely fantastical storybook. +10<br/><br/>For everyone who loves games. I recommend, get it while it's free!",0,1,0,0,0,0,0
"Cute concept, BUT...  There really is no guidance.  I've spent quite a bit of time and money clicking on Quests and finding out I've already been there and there is nothing to do but return home.  Once home, it takes SOOOO LONG for anything to happen.<br/><br/>Crystals are hard to come by.  I DO NOT waste my real money playing games!!!  Very adorable game, but I'm afraid I don't have the time or real money to play.  Sorry!",0,0,0,0,1,0,0
I love this game and the ability to play anywhere I may be! I just wish that we can access my new English farm.,0,1,0,0,0,0,0
This is a Fun Game.....reminds me of the old days playing Magic the Gathering in highschool....The only complaint I have is the leveling up/crystal accumulation....It takes WAY to long to build up crystals to be able to purchase new booster packs/decks. So you are stuck with the same cards game after game with no change. Though it was propbably done on purpose to get people to spend real money on the crystals....Until this issue is made better... 2 stars...,0,0,0,0,1,1,0
The daily reward crashes the program every time it appears.<br/><br/>I don't mind that you sell in-game special cash because many games do plus you let players earn it in-game so you don't *have* to spend real money.<br/><br/>I used to play this game every day - now I don't because the daily reward crashes the program. Weak.,1,0,0,0,1,0,0
"When you need to take a mental break from anything, this game is perfect. I love games that allow you to use your imagination. I wish it was easier to earn investment points, otherwise its amazing.",0,0,0,0,0,1,0
"I like it, just wish you could do more on the iPad.",0,0,1,0,0,0,0
"So far, great game!  Wish I didn't have to do things on Facebook or pay real money to move fast though...",0,0,0,0,1,0,0
"The concept is great! The graphics are superb, and the sound is so-so.  it is very addicting play and the starter decks are actually quite good.  The only downfall to the game is that in order to really play to the games full potential you have to spend real money for cards virtually and then the game get really good then.  Until then you get the pants beaten off you as you progress thru the game.  If you willing to spend the cash this is a must have!",0,1,0,0,1,0,0
"Love GUI, it makes player feel convenient. Gameplay sometimes makes me confused to decide which to do next. Still love games released from Big Fish.",0,1,0,0,0,0,0
"I do like playing the game but it takes too long to make treats, get crystals, build bridges, get animals Without having to spend real money!  Need more storage.....it is a cute game but several times have considered deleting it all together.",0,0,0,0,1,0,0
"This is by far the slowest app I've ever experienced. I love Farmville and was very excited about this app, but it literally takes five minutes to load. Then when I played it, it was incredibly slow in game, as well. Overall, a big disappointment. As a FV player who has never spent a dime of real money on this game, I'm glad this app was free. I'd be highly upset if I had finally broken down and spent a few dollars on the game and ended up with this.",0,0,0,1,1,0,0
"It's a fun game - I found it quite addictive. But after a certain point you cannot do much in the game at all unless you use Investment Points. You can obtain a very few of these per day, and youcan purchase them for real money. I purchased hundreds of them and continued playing, but then the game started revealing bugs, making it unplayable; some quests qould require me to transport 100 (for example) people to a location. If I left the game running and in the foreround (i.e., I could not use my computer for anything else, and I could not let it sleep or go to screensaver) then it would work, but if I put the game in the background, mimimized it, or quit it and relaunched it later (which it is supposed to handle properly), then the quest says I have transported *negative billions* of people! There is no way to catch up! Other quests became unplayable in different manners: one said to route a bus through every location; I did, but the quest did not recognize it, so there is no way to achieve that quest!<br/><br/>Tech support said, &quot;sorry. wait for an upgrade that might fix it.&quot;<br/><br/>I do *NOT* recommend paying any money in order to play this game (or to try to play it!). Have whatever fun you can manage without investing your hard-earned money into a non-playable game.",0,0,1,0,1,0,0
"I started playing this game with my two boys.  It's been fun teaching them basic strategy since they are so young.  I agree with many of the other posters here that the whole investment points is a bit ridiculous.  They accrue too slowly and I'm not about to spend real money to get more.  My boys and I are starting to get tired of it and we are only on day two.  It's still neat, but we want to expand faster than this game allows.  It seems that the creators are trying to hook people on this and get them to spend a lot of real money.  Oh well, maybe it's time to move on to the next game.",0,0,0,0,1,0,0
"I like this game but it takes a long time to earn money to buy houses, etc. real money/gems need to be purchased and use to speed things up.",0,0,0,0,1,0,0
"On the first day I thought this was a pretty awesome game. When I log on then log off for a period of time, I come back and all my buildings are on fire, even though I have a firehouse, and I have to pay to rebuild the building, which is really pricey. You have to spend real money, and a lot of it, to get anywhere in this game. Not to mention when I try to get on the game, it crashes right away, so that was my deciding factor to DELETE!!! If you are going to charge for in-game purchases, at least make it reasonable...",0,0,0,0,1,0,0
It is really fun to play! I love games like this!,0,0,0,0,0,0,1
I love FV. This app does crash here and there but it's nothing big. I just wish u could do more stuff with ur farm like u can do in the pc. Hopefully his app is updated soon.,1,0,0,0,0,0,0
Beautiful I love games like this,0,0,0,0,0,0,1
I love gamevil and always have.   Great job guys.,0,0,0,0,0,0,1
Love it!! I just wish I could get into my shops !!   I also want to be able to move my animals I to the  buildings!,0,0,0,0,0,0,1
I love games like this. And this is one of the best I've seen.,0,0,0,0,0,0,1
Love this app just wish you could finish all the quest in it.,0,0,0,0,0,1,0
Farmville is great but I don't like the fact that almost everything you want to buy cost real money. They should really change that alot of my friends have stopped playing it because of that.,0,0,0,0,1,0,0
A direct pipeline to your wallet.  Everything beyond basic equipment &amp; character costs gold.  Gold costs real money &amp; ain't cheap.<br/><br/>Interface is clumsy.  Graphics boring &amp; tedious. Skills trees trivial.  Nothing new here.<br/><br/>Ignore the payola reviews quoted above.  Not worth the download.,0,0,0,0,1,0,0
"This game is really great! Its adorable and very fun. On the other hand, it's not really free, because to buy some things you need &quot;magic beans&quot; which are purchased with real money. Other than that though, it's really nice. Great game.",0,1,0,0,1,0,0
I just wish everything was available like it is on a computer.,0,0,0,0,0,1,0
"I love everything about this app, by far my #1 editor. I just wish there was an Instagram connect button to share easier! That would make it so perfect! ",0,0,0,0,0,1,0
Boring. You have to pay for every level… Even if it's not real money i have no idea aha i'm clicking on.,0,0,0,0,1,0,0
"I love games like this!  Esp when fairy tale stuff is involved (or amusement parks, like the 1st one of this series).  Great graphics, mood, music.  The highlighted words didn't bother me, though it did make the HOS pretty simple. The mini-games were a bit simple, as well.  I think I spent more time trying to understand what the directions were asking than on the mini-game, itself.",0,1,0,0,0,0,0
You have to spend too much real money to get anywhere. The time it takes to &quot;finish&quot; anything is far too long and another way to get money out of you. I don't like the way quest tell you to go to a certain region instead of an island. Gets confusing. Animals needed to complete task are not provided when setting sail. Would be an awesome game but really needs work.,0,0,0,0,1,0,0
"I love games that make you think, and this game is all about that. So if you're anything like me you'll love it.",0,0,0,0,0,0,1
I love this app it's so much better than the stock application just wish you could shoot video too from it to completely replace the stock app,0,0,0,0,0,1,0
"I am really enjoying this game and agree with others that it can be addictive. My only problem with it is that I don't like games where you can't earn enough coins/gems to keep playing. I have checked my scores against others and see that they aren't bad. I am making decent scores. But the rate at which gems can be earned and the rate at which they are spent has caused me to have to purchase gems a coupe of times this month. I realize that this is intentional on the part of the game company, but for me it is a big turn off. I love games, but am careful about how much money I spend on them. If I have to purchase a small gem pack every 8 or 10 games, you can be sure I am not going to play very much. I love the game. I wish I could play more, but not at that cost.",0,1,0,0,1,0,0
"The game is kind of fun and will help you pass time. But they make it so you need &quot;invest points&quot; to be able to expand your city and clear big hill's that are conveniently planted right in the middle of your city taking up room to build on, and these invest points are almost impossible to come by as you move along in the game. Pretty much trying to make you spend real money to buy invest points. I understand they have to make money somewhere, but if you're going to be a free game don't try to strong arm people to spend money to buy upgrades in the game",0,0,0,0,1,0,0
"This game is fun.  The dungeons are immersive and remind me of traditional MMO dungeons.  This is because it feels like a gaming world.  That said, there are no country sides to roam or towns to explore.  You are either in your tavern to sell and buy things (or someone else's tavern if you play online) or you are in the midst of battle.<br/><br/>There is something tangible to this game: this means you upgrade gear, you upgrade your character stats, and you can change your toon's appearance.  It's like other MMOs in that sense.  However, there are few gear slots, and, other than weapons, gear is not visible when worn.<br/><br/>This review would have recieved five stars, but it will not because of some bugs: online game play yeilds spotty connections sometimes, the option to view and join current online games does not work, it is not a smooth transition between the game world and the game menus, and there is no in-game friend window because you'll have to use Game Center to invite/add friends to play in your same dungeon instance.<br/><br/>But the game play is very fun.  There are some unique twists to the classes available that help to give variety to play styles--my favorite being the summoner who, for lack of a better term, plays God over an army of minions, and a robot who builds laser beams and reflecting walls.<br/><br/>If you like Defender Chronicles and Field Runners, but you love games like WoW and EQ, you would have fun playing Dungeon Defenders.  Just be warned: your original $15 to buy the game from the app store gives you four classes/avatars and a mere several instances to choose from.  All other content and classes--and there are quite a few--will cost you more money via in-game purchases.  <br/><br/>Worth it all IMO. One of the biggest draws to this game is that it's a good place for casual gamers.  Just beware, although you do not have to spend hours and hours playing to advance, when you sit down to play after dinner, in a blink of an eye it's already past your bedtime.<br/><br/>One more thing: it makes my iMac run hot--very, very, very hot.  Maybe I will pay less on heating this winter and the family can huddle around the nice heat emulating computer.",0,1,1,0,1,0,0
I love it!!!  I just wish I could do more things on my iPhone! Like get fuel firm using bakery and pub and everything!,0,0,0,0,0,1,0
"My mom also has this app on her iPhone and she took a picture of a bday cake and added borders,captions and like everything else and she likes it a lot. I think it's the best camera app ever and that if anyone is thinking of buying a camera app they should buy Camera+. I just wish that there was video on it. It doesn't really matter if there is video or not but it would be really great if you could add video to this.. This is still a really awesome app and no one should listen to the people who say that this a waste of money and rated it one star. I like pie by the way.",0,1,0,0,0,1,0
"I was having fun playing it until I got to a point where I couldn't do any missions because I have not level up enough. I have to wait days to level up just so I can build 1 building to get to another mission. When I finally get a new mission the buidling I have to build costs 45 nanopods, forcing me to either use up hard earned things, or to spend actual real money to just build a building. This game is stupid unless they make all missions to be completed without actually spending real money, or they give you a option to skip that one.<br/><br/>FIX THIS NOW",0,0,0,0,1,0,0
Love it.  I just wish we could work on quest with phone,0,0,0,0,0,1,0
the game developers need to realize no one wants to waste real money playing a moderately designed game,0,0,0,0,1,0,0
I love this app just wish you could take vids,0,0,0,0,0,1,0
You can't play it without letting it have access to your Facebook account. You can't make your farm bigger without either paying real money or getting neighbors. The overt attempts to make you pay money for the app and the self advertising make me sick. What happened to apps that we're content with satisfying the user?,0,0,0,0,1,0,0
I love games like this good job but im always running out of lives lol,0,0,0,0,0,0,1
This app is amazing just wish all my gifts would show up :(,1,0,0,0,0,0,0
It's a good game just wish things would download a little faster,0,0,1,0,0,0,0
"This is probably the best camera app out there.  I just wish there was video.  Add that, and you'll get 5 stars.",0,0,0,0,0,1,0
"The game itself is pretty fun. I like how you can travel around to all different habitats and discover all types of animals, from red pandas to polar bears! The only thing I dislike was the crystals. They only give you two to start with and then you have buy some with real money for islands and bridges if you want to get further along in the game. Maybe give people more crystals to earn in quests.",0,0,0,0,1,0,0
This game is pretty fun except for the having to use real money to get ahead!,0,0,0,0,1,0,0
I love games just like this. This one is good,0,0,0,0,0,0,1
"What do you do when you flash player or a substitute for it.always having problems not loading everything-what can be done to fix that? Thank you.<br/><br/>Basically I love the program just wish these problems could be fixed.that the game would function completely like the computer,why is it,that it does not:does not completely download everything,not in sync slot,have to go back and revive everything again and again-frustrating! Pllease get all the bugs fixed.Seems like all the reviews have the same problem,please fix,it is a very fun addicting way to spend a few hours of relaxation,unless it does not load correctly.<br/>Thank you.",1,0,0,0,0,0,0
"The game itself could be really fun, however it basically requires you to purchase invest points and money if you don't want to sit there and stare at your starting city for days on end waiting for money to build so you can expand. Plus you earn invest points WAAYYYYY too slow and everything requires them so your basically either forced to purchase them with real money, or delete the game and move on.  ALso non stop &quot;share with facebook, and twiiter, and let everyone know your playing this stupid game&quot; messages CONSTANTLY. There are no more single player builder games anymore, everything has to be connected to facebook, and everyone you know has to see and know what your doing on everything or else you cant play. Games like this are just very annoying.<br/><br/>If you like dishing out lots of real money every time you want to do something in the game and just HAVE to share your amazing game with everyone on facebook, thsi game is for you.",0,0,0,0,1,0,0
Makes every photo taken a professional  one. Makes the average joe's pic's look amazing.  I just wish it had a description of what the clarity vs the other features would be.,0,0,0,0,0,1,0
I like this game because it plays with your mind and I love games like that,0,0,0,0,0,0,1
Can't do much. Hard to figure things out on your own. Very confusing. Won't get far unless you buy things with real money!,0,0,0,0,1,0,0
"played farmville every day a couple years ago, loved it. Now that I'm coming back to see what's different, I'm not so impressed. I can't spend real money on any games, so I find it really annoying that so many things that I had before I left, that I had bought with in game coins, are now requiring real cash to purchase. Oy, vey! So many games are doing this, it's getting frustrating. I looked around to see how much I could buy without spending real cash: not much. So I turned around and removed the app.",0,0,0,0,1,0,0
Good time waster but I hate the Invest Points system. The only way to earn enough to expand your city is to flood your Facebook and Twitter feed with this game and I refuse to do that. Invest Points need to be easier to earn without being bought with real money otherwise this game is essentially useless.,0,1,0,0,0,0,0
Very good game I just wish you had a pinch-zoom option like most other games,0,0,0,0,0,1,0
The New Yorker app is worthless (looks free but costs $4.99) and unworthy of a premier publication. 173MB download = 2.25 hrs for one issue? What century is this? I am disgusted that I paid real money for an app I had long hoped for. This is a marketing disaster for my favorite mag.<br/><br/>I hope you have a refund policy. This 20+ year reader expected way better from you.<br/><br/>Russell Versaci,0,0,0,0,1,0,0
I'm so addicted to this game!  I just wish I could do more with some of the features ie...I can't always find things in my inventory.,0,0,0,0,0,1,0
"Enjoy, just wish you didn't need Farm cash to get the good items all the time. And despite some quirks, it def keeps ya busy!",0,0,0,0,0,1,0
Love that I can play on my iPad and that I have access to my farm but just wish it had the same features as if it was my computer so I could do more.,0,0,0,0,0,1,0
Full of crap being they think I'm going to spend my real money to play this game. What kind of no life loser spends real money to play a game. I would buy the game if it cost but no way would I spend money for items I want in the game. Sorry.,0,0,0,0,1,0,0
"This is one of my favorite games...I play throughout the day on a daily basis. I love that I can play on the go and the pickup where I left off on my laptop. I just wish they allowed full functionality of all features in the app (ie. crafts, bakery, orchard and etc...). Besides that, I still love it!!",0,0,0,0,0,1,0
"Why all the games have to be structured in this weird way confounds me. What city in the world have you ever been to that was built by starting a cab company and then constructing buildings based on that? Makes absolutely no sense whatsover. To go to this extent to make a game like this, you would've thought they would've created a few more options of different ways and means of various careers in life to move up the ladder of society to build one's own city. So, because of the strange way in which you have to collect game dollars in this game at the beginning, you are forced into playing it the ONE way they want you to play which, to me, defeats te purpose of wanting to build one's own city in any way shape or form possible and you feel cagey after about the first hour of playing this game because you're just doing the same thing over and over again without much progress. So, it's just OK. Especially when you have to then spend real money to make any real progress in the game. I'm going to see how far I can get without spending any real money to progress &quot;quickly&quot; in this game as that seems to be the option, and how soon it will be before I go insane.",0,1,0,0,1,0,0
I've been playn FV for about 3week growin growin and growin.  It takes to long to build up FV cash and you have got to have X amount of friends to get more land . I bought fuel it took my money but no fuel!&quot;TWICE&quot; I was pissed!!! I've had friends to add me but no neighbors! Looks like they are tryN to get you to spend your real money on this game.Don't get me wrong it is a fun game !!! But I'm not spending real money for a 20FV cash house to put on my farm. Charge .99 cent for the app and that it. If you want money,0,0,0,0,1,0,0
"I really enjoyed. I love games like this! Not hard, not easy! And can't stop playing!",0,0,0,0,0,0,1
"It's a fun game with pretty graphics, though gameplay is nothing special. The real trouble is it only comes with 10 free lives. Serious. If you die 10 times (which will take about 10 minutes) you are expected to pay real money to buy more lives. This like the old arcade machines. If you have kids and they love this, you could be out a lot of money. <br/><br/>Not recommended at all.",0,1,0,0,1,0,0
"Interesting enough, but requires far too much real money to truly succeed.",0,0,0,0,1,0,0
"Love this game, just wish I could accept gifts on this app!",0,0,0,0,0,1,0
"It's a great app for my iPhone 4s! The problems is I can't seem to upload more then two photos at a time without it crashing. I can't tag people. I love that fact that I can put it in available albums, and create new albums. I just wish it would allow me to upload more then two photos. Please fix these problems. I hate having to redo my photos, and then try to upload again",1,0,0,0,0,0,0
Lots and lots of fun. No hassal about buying stuff with real money.,0,0,0,0,1,0,0
"I'm a big clash of clans person. But, I love games with dragons in them. This is game takes those two and combines them. The game has imagination, but I feel like its a copy of COC in that all the ideas, character attributes, and even your camp all play exactly like COC. Not a bad thing. It's just been done before. Still a good game and a fun game.",0,1,0,0,0,0,0
I like farmville. I play all the time. I just wish there was a way of converting coins to Farmville Cash.,0,0,0,0,0,1,0
I love games so therefore I love this. Game is good,0,0,0,0,0,0,1
